,date,open,close,high,low,volume,code
0,2004-01-02,13.28,0.6491336633663367,13.73,13.28,444.0,600819
1,2004-01-05,13.55,0.6287128712871286,13.55,13.06,144.0,600819
2,2004-01-06,13.26,0.6126237623762376,13.44,12.84,405.0,600819
3,2004-01-07,12.9,0.5940594059405939,12.91,12.6,503.0,600819
4,2004-01-08,12.4,0.6095297029702971,12.95,12.4,180.0,600819
5,2004-01-09,12.7,0.5977722772277227,13.2,12.7,254.15,600819
6,2004-01-12,12.8,0.5959158415841583,12.8,12.5,196.0,600819
7,2004-01-13,12.4,0.5946782178217822,13.0,12.4,237.29,600819
8,2004-01-14,12.51,0.5965346534653466,12.85,12.51,75.84,600819
9,2004-01-15,12.85,0.5878712871287128,12.97,12.54,99.0,600819
10,2004-01-16,12.42,0.5909653465346534,12.85,11.6,138.5,600819
11,2004-01-29,12.99,0.6002475247524752,12.99,12.65,55.3,600819
12,2004-01-30,12.45,0.5909653465346534,12.65,12.4,164.35,600819
13,2004-02-02,11.72,0.5909653465346534,12.8,11.72,217.0,600819
14,2004-02-03,12.79,0.5928217821782178,12.79,12.53,219.25,600819
15,2004-02-04,12.65,0.5878712871287128,12.7,12.5,830.03,600819
16,2004-02-05,12.7,0.6126237623762376,13.3,12.7,2901.88,600819
17,2004-02-06,13.01,0.6051980198019802,13.19,12.86,1951.0,600819
18,2004-02-09,12.98,0.6021039603960396,13.09,12.8,2445.0,600819
19,2004-02-10,12.84,0.6082920792079207,12.98,12.75,1806.5,600819
20,2004-02-11,13.0,0.6002475247524752,13.01,12.59,1212.0,600819
21,2004-02-12,12.61,0.5866336633663367,12.7,12.55,894.0,600819
22,2004-02-13,12.58,0.5823019801980198,12.62,12.5,617.0,600819
23,2004-02-16,12.51,0.5940594059405939,12.7,12.51,630.0,600819
24,2004-02-17,12.9,0.5946782178217822,12.97,12.67,730.47,600819
25,2004-02-18,12.74,0.5915841584158417,12.9,12.6,628.5,600819
26,2004-02-19,12.7,0.5878712871287128,12.72,12.51,923.12,600819
27,2004-02-20,12.6,0.5816831683168318,12.6,12.39,727.08,600819
28,2004-02-23,12.41,0.5773514851485149,12.59,12.4,937.22,600819
